date,open,high,low,close,volume,trading_value
2024-06-21,50000.0,50121.0,49863.0,50000.0,1712755,85637750000.0
2024-06-24,50296.0,50809.0,49079.0,49711.0,939747,46715572904.0
2024-06-25,49738.0,49780.0,48916.0,49313.0,2068234,101990107598.0
2024-06-26,49427.0,50290.0,49042.0,50250.0,1848008,92863264307.0
2024-06-27,50204.0,51170.0,49777.0,49844.0,1258255,62716662973.0
2024-06-28,49835.0,50510.0,49052.0,49583.0,618884,30685978453.0
2024-07-01,49580.0,50308.0,48714.0,49706.0,2301497,114399084253.0
2024-07-02,49811.0,51254.0,49426.0,50830.0,1653854,84065178773.0
2024-07-03,50971.0,51121.0,50628.0,50946.0,1105119,56300922096.0
2024-07-04,50914.0,51558.0,50889.0,51333.0,847235,43490789606.0
2024-07-05,51779.0,53376.0,51177.0,52647.0,897789,47265499956.0
2024-07-08,52502.0,54464.0,51901.0,54362.0,1438883,78221105195.0
2024-07-09,54476.0,54948.0,52638.0,53749.0,2015508,108332224025.0
2024-07-10,54169.0,54394.0,53157.0,53311.0,890641,47481272143.0
2024-07-11,53414.0,55030.0,53106.0,54757.0,1862120,101964335831.0
2024-07-12,54282.0,55300.0,52492.0,52595.0,2138160,112455529582.0
2024-07-15,52752.0,53962.0,52439.0,53243.0,2056735,109507092630.0
2024-07-16,53045.0,54050.0,53004.0,53875.0,657542,35425186407.0
2024-07-17,53826.0,54163.0,53138.0,53584.0,1117519,59881269999.0
2024-07-18,53389.0,55943.0,53103.0,54692.0,1830085,100091768973.0
2024-07-19,54493.0,57288.0,54125.0,56792.0,2364968,134312260214.0
2024-07-22,57006.0,60523.0,56492.0,59886.0,2030520,121599686566.0
2024-07-23,60205.0,61799.0,58735.0,59176.0,1956056,115751611740.0
2024-07-24,59421.0,60057.0,58883.0,59309.0,1226147,72721345564.0
2024-07-25,59314.0,59901.0,58731.0,59878.0,1113025,66645731076.0
2024-07-26,60137.0,60259.0,58333.0,59173.0,1101890,65202336411.0
2024-07-29,59344.0,59508.0,57060.0,57903.0,1810841,104852348486.0
2024-07-30,57697.0,58418.0,57282.0,58045.0,1009507,58596504235.0
2024-07-31,58131.0,61130.0,57282.0,60330.0,1410444,85092130215.0
2024-08-01,60685.0,60945.0,59847.0,60496.0,1559624,94351170583.0
2024-08-02,60488.0,62895.0,59767.0,62151.0,837871,52074205529.0
2024-08-05,61943.0,62491.0,61917.0,62219.0,1606246,99938977413.0
2024-08-06,62684.0,62874.0,61071.0,61178.0,1554615,95107475522.0
2024-08-07,61129.0,63235.0,60700.0,62850.0,675172,42434871369.0
2024-08-08,63398.0,64120.0,62148.0,63124.0,1606443,101405495708.0
2024-08-09,63381.0,64226.0,63309.0,63652.0,1648909,104956766102.0
2024-08-12,63711.0,64225.0,63220.0,64144.0,1936190,124195423966.0
2024-08-13,64093.0,66638.0,63322.0,66565.0,693802,46183029975.0
2024-08-14,66182.0,67000.0,65117.0,65553.0,955623,62643863069.0
2024-08-15,64975.0,67686.0,64087.0,67265.0,1317297,88608562913.0
2024-08-16,66913.0,67423.0,66358.0,66857.0,1796580,120114477806.0
2024-08-19,66914.0,67148.0,66509.0,66701.0,651321,43444003847.0
2024-08-20,67135.0,68485.0,66521.0,68044.0,1273310,86641162711.0
2024-08-21,67746.0,70227.0,66862.0,69783.0,727456,50763922107.0
2024-08-22,69936.0,70486.0,67826.0,69040.0,1389437,95927259714.0
2024-08-23,69021.0,70340.0,68546.0,70082.0,1989551,139432319119.0
2024-08-26,70467.0,70811.0,68311.0,68359.0,1010769,69095090533.0
2024-08-27,68600.0,69120.0,65388.0,66769.0,2316981,154702346368.0
2024-08-28,67144.0,68952.0,66605.0,68645.0,929055,63774966018.0
2024-08-29,68150.0,68608.0,67605.0,68445.0,558847,38250383742.0
2024-08-30,68739.0,69647.0,68370.0,68769.0,1684028,115808315270.0
2024-09-02,69574.0,70351.0,67183.0,67260.0,1013107,68141578536.0
2024-09-03,66757.0,67184.0,63992.0,64741.0,2097500,135793736958.0
2024-09-04,64715.0,65406.0,64713.0,65057.0,1399019,91016486233.0
2024-09-05,64701.0,65175.0,63694.0,63819.0,632587,40370823477.0
2024-09-06,63265.0,65087.0,63150.0,64344.0,1083873,69740183491.0
2024-09-09,63980.0,64941.0,60224.0,61143.0,758486,46375753844.0
2024-09-10,60580.0,61746.0,59207.0,61586.0,2143517,132010428409.0
2024-09-11,61480.0,63727.0,61434.0,63253.0,961601,60824494189.0
2024-09-12,62986.0,68078.0,62473.0,67383.0,1329290,89571700516.0
2024-09-13,67235.0,68203.0,66973.0,67839.0,1238370,84009716766.0
2024-09-16,67510.0,68651.0,66757.0,67210.0,1449394,97413604174.0
2024-09-17,67714.0,68732.0,66756.0,67871.0,1247959,84699623077.0
2024-09-18,67422.0,69204.0,67356.0,68574.0,1941226,133118229586.0
2024-09-19,68133.0,68870.0,66228.0,66896.0,1941226,129860129433.0
