date,open,high,low,close,volume,trading_value
2024-06-21,50000.0,50291.0,49431.0,50000.0,1402757,70137850000.0
2024-06-24,50310.0,50602.0,49431.0,49881.0,700065,34919679123.0
2024-06-25,49952.0,50440.0,49277.0,50099.0,1146511,57438688745.0
2024-06-26,50252.0,50264.0,49565.0,50056.0,824722,41282049375.0
2024-06-27,49877.0,50596.0,49801.0,50330.0,708928,35680037193.0
2024-06-28,50031.0,52373.0,49464.0,51664.0,1861663,96181876424.0
2024-07-01,51531.0,52170.0,51204.0,51628.0,1867099,96394858353.0
2024-07-02,51838.0,52101.0,51090.0,51816.0,1448052,75031862377.0
2024-07-03,51829.0,52080.0,50944.0,50965.0,1554016,79200111102.0
2024-07-04,50746.0,51991.0,49848.0,51779.0,1714506,88775103705.0
2024-07-05,52348.0,53008.0,50961.0,51149.0,1508900,77179023432.0
2024-07-08,51604.0,51612.0,49462.0,50248.0,605444,30422392545.0
2024-07-09,50086.0,50123.0,48620.0,49702.0,1219596,60616502703.0
2024-07-10,49578.0,50090.0,49124.0,49919.0,1568424,78294201191.0
2024-07-11,49794.0,51296.0,49513.0,51170.0,2028384,103793374731.0
2024-07-12,51155.0,52123.0,50883.0,51869.0,1179298,61169384125.0
2024-07-15,52042.0,52643.0,51101.0,51246.0,2424122,124227547424.0
2024-07-16,51208.0,51528.0,49024.0,49284.0,1278907,63029986661.0
2024-07-17,49353.0,49589.0,49344.0,49418.0,2013063,99480951415.0
2024-07-18,49355.0,49556.0,49355.0,49553.0,1751108,86773317311.0
2024-07-19,49609.0,51685.0,49173.0,50701.0,2227604,112941157844.0
2024-07-22,50509.0,51665.0,50178.0,51453.0,2199794,113186650480.0
2024-07-23,51678.0,54676.0,51626.0,53799.0,1710154,92004923548.0
2024-07-24,53435.0,53896.0,53110.0,53360.0,1250337,66718289767.0
2024-07-25,53108.0,53361.0,51913.0,52461.0,2040752,107060422086.0
2024-07-26,52244.0,53796.0,52159.0,53541.0,1747100,93540744182.0
2024-07-29,53229.0,54492.0,52873.0,53815.0,2558274,137673556148.0
2024-07-30,53647.0,54873.0,51302.0,51524.0,1883029,97021054696.0
2024-07-31,51459.0,54036.0,51417.0,53295.0,1182775,63035735032.0
2024-08-01,53209.0,55601.0,52577.0,55316.0,1828107,101123060584.0
2024-08-02,55395.0,56299.0,54108.0,54429.0,1312414,71433426141.0
2024-08-05,54395.0,57544.0,54317.0,56938.0,1225878,69799303821.0
2024-08-06,56921.0,59244.0,56812.0,59232.0,1980417,117304489910.0
2024-08-07,59202.0,60796.0,58869.0,60751.0,1773943,107768318697.0
2024-08-08,60640.0,60954.0,58523.0,59222.0,872608,51677196123.0
2024-08-09,59363.0,60228.0,58497.0,59061.0,958793,56627673620.0
2024-08-12,58780.0,62137.0,58524.0,61981.0,1489257,92306309247.0
2024-08-13,62483.0,62902.0,62047.0,62267.0,2084367,129787255762.0
2024-08-14,62134.0,63497.0,61777.0,63257.0,2070660,130982739776.0
2024-08-15,63443.0,63860.0,60731.0,60920.0,1374613,83740922521.0
2024-08-16,61580.0,61813.0,59565.0,60600.0,2015635,122147707913.0
2024-08-19,60645.0,61571.0,60099.0,60302.0,1986407,119784877145.0
2024-08-20,60414.0,60721.0,57655.0,58674.0,1473262,86442750216.0
2024-08-21,58771.0,59486.0,58541.0,59029.0,1563278,92278511206.0
2024-08-22,59389.0,60953.0,59302.0,59435.0,1177169,69964761896.0
2024-08-23,58963.0,59862.0,58782.0,59208.0,975813,57775561616.0
2024-08-26,59190.0,60962.0,58822.0,60475.0,2968644,179527431919.0
2024-08-27,60882.0,61354.0,55667.0,56657.0,642542,36404280531.0
2024-08-28,56525.0,57120.0,55719.0,55932.0,1317249,73676154640.0
2024-08-29,55652.0,56880.0,55592.0,56407.0,1197785,67563845687.0
2024-08-30,55811.0,55943.0,53835.0,53841.0,1303169,70163581441.0
2024-09-02,53637.0,53725.0,52494.0,52683.0,2406975,126806062479.0
2024-09-03,53121.0,55269.0,52791.0,55176.0,1525926,84194650227.0
2024-09-04,55484.0,55723.0,55382.0,55658.0,700949,39013578800.0
2024-09-05,55346.0,55559.0,55321.0,55552.0,791287,43957216114.0
2024-09-06,56093.0,56269.0,55616.0,56062.0,562127,31513710294.0
2024-09-09,55644.0,55869.0,55552.0,55760.0,1642458,91583810994.0
2024-09-10,55608.0,58185.0,55556.0,57883.0,1175559,68045218596.0
2024-09-11,58124.0,58342.0,57438.0,57816.0,763212,44126233627.0
2024-09-12,57588.0,58219.0,55877.0,56011.0,902850,50569916927.0
2024-09-13,55369.0,55520.0,54316.0,54648.0,1327362,72537598671.0
2024-09-16,55088.0,55137.0,54825.0,54908.0,639830,35131734949.0
2024-09-17,54567.0,56984.0,54100.0,56205.0,580123,32605584951.0
2024-09-18,55897.0,56143.0,55507.0,55703.0,1728703,96293693104.0
2024-09-19,55968.0,57415.0,55378.0,56905.0,1728703,98371587734.0
